Date,Return - INFY,Return - IRCTC,Return - TATAELXSI
2023-03-28,-0.008171623,-0.037622341,-0.005078571
2023-03-29,0.004319159,0.007675808,0.005045418
2023-03-31,0.032091287,0.014703256,0.000512134
2023-04-03,-0.011975192,-0.004364525,0.008759663
2023-04-05,0.009001718,-0.006400077,0.014622526
2023-04-06,-0.001159092,0.005735463,-0.005090879
2023-04-10,0.004008687,0.020003445,0.021909511
2023-04-11,-0.015025184,0.006193078,0.029059313
2023-04-12,0.015752249,-0.000854847,-0.000681618
2023-04-13,-0.027375269,0.014117043,-0.014654371
2023-04-17,-0.094226826,0.006749346,0.000994669
2023-04-18,0.000834401,0.011564508,0.012329553
2023-04-19,-0.021558761,0.005219160,-0.009438791
2023-04-20,-0.007141639,-0.008158912,-0.008807441
2023-04-21,0.003228668,0.002077275,0.004694776
2023-04-24,-0.000855442,0.000663390,-0.004465818
2023-04-25,-0.001141666,0.007457739,0.002918622
2023-04-26,0.002163462,0.000493482,0.003133356
2023-04-27,0.015233555,-0.003452871,0.045677467
2023-04-28,0.005215647,0.019303766,0.009941914
2023-05-02,0.019716584,0.014810657,-0.000052697
2023-05-03,-0.006497262,0.001196268,0.005298641
2023-05-04,0.003466907,0.006213102,0.006416101
2023-05-05,-0.011346294,-0.009816264,-0.009083036
2023-05-08,0.005162418,0.004317160,0.017874675
2023-05-09,0.004029690,-0.008756568,0.031367604
2023-05-10,-0.005862872,0.002730504,0.018578494
2023-05-11,-0.005660023,0.003684107,0.010741591
2023-05-12,-0.008677673,0.002952499,-0.016635757
2023-05-15,0.010560573,0.006205687,-0.006639731
2023-05-16,0.004728472,-0.009804621,0.011960307
2023-05-17,-0.013762576,-0.005430047,-0.002325884
2023-05-18,-0.000721809,-0.012685707,-0.014586226
2023-05-19,0.018378831,-0.007318859,0.004538567
2023-05-22,0.018835231,0.021545055,-0.013710730
2023-05-23,0.005607982,0.001363233,0.013280884
2023-05-24,-0.001076901,-0.008729002,0.001338505
2023-05-25,0.004389136,-0.000565578,0.032499314
2023-05-26,0.010043298,0.009376749,0.028384534
2023-05-29,-0.002315023,0.034275686,0.003729707
2023-05-30,0.007189556,-0.003097174,-0.009733246
2023-05-31,-0.004192263,0.008932039,-0.000060657
2023-06-01,0.000910226,0.000000000,0.028693494
2023-06-02,-0.015536188,-0.006235547,0.008049014
2023-06-05,0.004234026,-0.002788733,0.000285827
2023-06-06,-0.019547719,-0.001009903,-0.012165248
2023-06-07,0.007779477,0.015396616,0.011644395
2023-06-08,-0.004771250,-0.013631527,0.019706111
2023-06-09,-0.013135405,-0.005978224,-0.003448185
2023-06-12,0.020537937,0.008982269,0.005231772
2023-06-13,0.009984926,0.002631912,-0.000827130
2023-06-14,-0.003410317,-0.006331032,-0.013003069
2023-06-15,-0.010458301,-0.000777001,0.004729081
2023-06-16,0.003769020,0.034214619,-0.018795181
2023-06-19,0.001819360,0.004285678,0.005634644
2023-06-20,0.007264315,-0.005689883,0.011349389
2023-06-21,-0.003107295,-0.002560066,0.002612436
2023-06-22,-0.013699101,-0.026345516,-0.015852132
2023-06-23,-0.012914087,-0.026515794,-0.024167701
